,name,gender,birthdate,deathdate,birthplace,deathplace,residence,education,occupation,employer
0,A.J. Smith,male,1952-01-01T00:00:00Z,,,,,,"professor, artist, printmaker",University of Arkansas at Little Rock
1,Aaron Douglas,male,1899-05-26T00:00:00Z,1979-02-02T00:00:00Z,Topeka,Nashville,,"University of Kansas, University of Nebraska–Lincoln, Topeka High School","illustrator, painter, muralist",Fisk University
2,Akili Ron Anderson,male,1946-02-19T00:00:00Z,,"Washington, D.C.",,"Washington, D.C.",Howard University,"photographer, artist, painter, sculptor, stained-glass artist, scenographer, visual artist, printmaker",
3,Alfred A. Smith,male,1896-09-17T00:00:00Z,1940-01-01T00:00:00Z,New York City,,"New York City, Paris",,artist,
4,Alison Saar,female,1956-02-05T00:00:00Z,,Los Angeles,,,"Otis College of Art and Design, Scripps College","photographer, artist, illustrator, painter, sculptor",
5,Allan Edmunds,male,1949-01-01T00:00:00Z,,Philadelphia,,,Tyler School of Art,"professor, visual artist",Swarthmore College
6,Allan Randall Freelon,male,1895-09-02T00:00:00Z,1960-08-06T00:00:00Z,Philadelphia,Telford,,"University of Pennsylvania, The University of the Arts",painter,
7,Alma Thomas,female,1891-09-22T00:00:00Z,1978-02-24T00:00:00Z,Columbus,"Washington, D.C.","Washington, D.C.","Columbia University, Howard University, Normal School for Colored Girls, Teachers College","artist, painter, drawer, art educator",Shaw Junior High School
8,Alvin D. Loving,male,1935-09-19T00:00:00Z,2005-06-21T00:00:00Z,Detroit,New York City,,University of Michigan,"artist, painter",
9,Alzie Jackson,male,1927-01-01T00:00:00Z,1997-01-01T00:00:00Z,,,,,hatter,Moore College of Art and Design
10,Andrea Williams,female,1973-01-01T00:00:00Z,,,,Boykin,,"artist, quilter",
11,Ann Lowe,female,1898-12-14T00:00:00Z,1981-02-25T00:00:00Z,Clayton,Queens,,,"businessperson, fashion designer",
12,Annie E. Pettway,female,1904-06-18T00:00:00Z,1972-01-01T00:00:00Z,,,Boykin,,"artist, quilter",
13,Anthony Barboza,male,1944-05-10T00:00:00Z,,New Bedford,,New York City,,"artist, journalist, visual artist, photographer",
14,Arester Earl,female,1892-01-01T00:00:00Z,1988-01-01T00:00:00Z,,,Covington,,"artist, quilter",
15,Barbara Chase-Riboud,female,1939-06-26T00:00:00Z,,Philadelphia,,"London, Paris, Rome, Philadelphia, Capri","American Academy in Rome, The University of the Arts, Yale School of Architecture, Philadelphia High School for Girls, Tyler School of Art","writer, poet, painter, sculptor, novelist, drawer",
16,Barkley L. Hendricks,male,1945-04-16T00:00:00Z,2017-04-18T00:00:00Z,Philadelphia,New London,,"Yale University, Pennsylvania Academy of the Fine Arts, Simon Gratz High School","photographer, professor, painter, drawer",Connecticut College
17,Barkley L. Hendricks,male,1945-04-16T00:00:00Z,2017-04-18T00:00:00Z,Nicetown-Tioga,New London,,"Yale University, Pennsylvania Academy of the Fine Arts, Simon Gratz High School","photographer, professor, painter, drawer",Connecticut College
18,Beauford Delaney,male,1901-12-30T00:00:00Z,1979-03-25T00:00:00Z,Knoxville,14th arrondissement of Paris,,"Harvard University, Austin-East High School",painter,
19,Beauford Delaney,male,1901-12-31T00:00:00Z,1979-03-25T00:00:00Z,Knoxville,14th arrondissement of Paris,,"Harvard University, Austin-East High School",painter,
20,Beauford Delaney,male,1901-12-30T00:00:00Z,1979-03-26T00:00:00Z,Knoxville,14th arrondissement of Paris,,"Harvard University, Austin-East High School",painter,
21,Beauford Delaney,male,1901-12-31T00:00:00Z,1979-03-26T00:00:00Z,Knoxville,14th arrondissement of Paris,,"Harvard University, Austin-East High School",painter,
22,Benny Andrews,male,1930-11-13T00:00:00Z,2006-11-10T00:00:00Z,Madison,New York City,New York City,"Fort Valley State University, School of the Art Institute of Chicago","teacher, artist, painter, visual artist, printmaker, drawer",Queens College
23,Benny Andrews,male,1930-11-13T00:00:00Z,2006-11-10T00:00:00Z,Plainview,New York City,New York City,"Fort Valley State University, School of the Art Institute of Chicago","teacher, artist, painter, visual artist, printmaker, drawer",Queens College
24,Bessie Harvey,female,1929-10-11T00:00:00Z,1994-08-12T00:00:00Z,Dallas,Alcoa,"Tennessee, Alcoa",,sculptor,
25,Betye Saar,female,1926-07-30T00:00:00Z,,Los Angeles,,Los Angeles,"University of California, Los Angeles, California State University, Long Beach, Pasadena City College","painter, graphic artist, printmaker, installation artist, assemblage artist","University of California, Los Angeles"
26,Bill Peronneau,male,1946-01-01T00:00:00Z,,Philadelphia,,,,photographer,
27,Bill Smith,male,1936-01-01T00:00:00Z,,Madison,,,Indiana University,"jewelry designer, fashion designer",
28,Bill Traylor,male,1854-04-01T00:00:00Z,1949-10-23T00:00:00Z,Benton,Montgomery,,,"artist, painter, drawer, sharecropper, gouache painter, folk artist",
29,Bill Traylor,male,1854-04-01T00:00:00Z,1949-10-23T00:00:00Z,"Pleasant Hill, Dallas County, Alabama",Montgomery,,,"artist, painter, drawer, sharecropper, gouache painter, folk artist",
30,Bob Thompson,male,1937-06-26T00:00:00Z,1966-05-30T00:00:00Z,Louisville,Rome,,"Boston University, University of Louisville, Central High School",artist,
31,Camille Billops,female,1933-08-12T00:00:00Z,2019-06-01T00:00:00Z,Los Angeles,Manhattan,New York City,"California State University, Los Angeles, City College of New York","archivist, film director, visual artist, printmaker",
32,Carmen Cartiness Johnson,female,1954-01-01T00:00:00Z,,Kansas City,,,,"artist, storyteller",
33,Carrie Bonivul Thomas,female,1919-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,Mississippi,,artist,
34,Carrie Mae Weems,female,1953-04-20T00:00:00Z,,Portland,,Syracuse,"University of California, Berkeley, University of California, San Diego, California Institute of the Arts","photographer, installation artist, video artist",Hampshire College
35,Charles Burwell,male,1955-01-01T00:00:00Z,,Philadelphia,,Philadelphia,"Yale University, Temple University","teacher, visual artist",
36,Charles Searles,male,1937-07-11T00:00:00Z,2004-11-27T00:00:00Z,Philadelphia,New York City,,,painter,
37,Charles Wilbert White,male,1918-04-02T00:00:00Z,1979-10-03T00:00:00Z,Chicago,Los Angeles,,School of the Art Institute of Chicago,"artist, painter, printmaker",
38,Charles Wilbert White,male,1918-04-02T00:00:00Z,1979-11-03T00:00:00Z,Chicago,Los Angeles,,School of the Art Institute of Chicago,"artist, painter, printmaker",
39,Charlie Logan,male,1893-01-01T00:00:00Z,1984-01-01T00:00:00Z,,,Alton,,artist,
40,Chuckie Williams,male,1957-01-01T00:00:00Z,1999-10-13T00:00:00Z,,,,,artist,
41,Clarence Wood,,,,,,,,artist,
42,Clarissa Sligh,female,1939-01-01T00:00:00Z,,"Washington, D.C.",,Asheville,"Howard University, The Wharton School, Hampton University, The Skowhegan School of Art","photographer, writer, printmaker",
43,Claude Clark,male,1915-11-11T00:00:00Z,2001-04-21T00:00:00Z,Rockingham,Oakland,"California, Philadelphia","California State University, Sacramento, Philadelphia College of Art, University of California, Berkeley","art educator, artist, painter, visual artist, printmaker, drawer","Philadelphia Public School District, Talladega College, Works Progress Administration, Merritt College"
44,Claude Lawrence,male,1944-01-24T00:00:00Z,,Chicago,,,,"saxophonist, artist, musician",
45,Curlee Raven Holton,male,1951-01-01T00:00:00Z,,,,,"Kent State University, Cleveland Institute of Art, Institute for Doctoral Studies in the Visual Arts","artist, university teacher",Lafayette College
46,Curtis E. Brown,male,1940-01-01T00:00:00Z,,,,,,artist,
47,Daniel LaRue Johnson,male,1938-01-01T00:00:00Z,2017-01-01T00:00:00Z,Los Angeles,,,California Institute of the Arts,"artist, painter",
48,David Butler,male,1898-01-01T00:00:00Z,1997-01-01T00:00:00Z,St. Mary Parish,Morgan City,Patterson,,artist,
49,David Drake,male,1801-01-01T00:00:00Z,,,Edgefield,,,"artist, potter, ceramicist",
